,ACCESSIBILITY,AIR_QUALITY,CONTROL,ENERGY,INFO_REQUEST,LIGHTING,MAINTENANCE,OCCUPANCY,OTHER,PRIVACY,SAFETY,SECURITY,SUSTAINABILITY,THERMAL,TRANSPORT,WASTE,WATER,WAYFINDING,WEATHER_OUTDOOR,WELLBEING
Stage_1,1.05,3.99,0.89,12.71,4.04,3.41,2.89,3.99,34.19,0.68,10.56,4.15,4.1,5.3,0.74,0.47,2.15,2.15,0.95,1.58
Stage_2,0.15,17.67,0.85,23.27,0.45,4.69,3.74,3.84,13.73,0.4,7.79,4.84,0.95,9.69,0.0,0.1,2.5,0.85,0.4,4.09
Stage_3,0.47,7.45,0.82,15.25,1.47,4.46,3.46,4.52,18.83,0.88,14.96,3.81,1.47,8.97,2.29,0.41,1.64,5.69,0.47,2.7
Stage_4,0.97,8.38,0.71,18.32,0.39,6.43,2.27,2.08,14.29,1.1,9.81,4.61,8.84,9.49,0.19,1.49,6.11,0.78,0.45,3.25
