PrimaryRole,ACCESSIBILITY,AIR_QUALITY,CONTROL,ENERGY,INFO_REQUEST,LIGHTING,MAINTENANCE,OCCUPANCY,OTHER,PRIVACY,SAFETY,SECURITY,SUSTAINABILITY,THERMAL,TRANSPORT,WASTE,WATER,WAYFINDING,WEATHER_OUTDOOR,WELLBEING
Building Owners,4,57,2,74,3,12,9,11,153,2,21,14,15,25,1,0,8,8,2,14
Facility Managers,1,42,3,46,8,26,11,9,174,4,13,15,5,28,2,3,16,9,0,12
Guests,21,155,21,179,43,66,55,47,304,19,70,78,22,138,11,8,51,50,11,49
Health and Safety Officers,0,46,4,24,2,4,19,10,81,0,467,14,9,20,0,0,9,8,9,14
IT,1,98,6,108,18,32,21,19,172,11,27,36,21,51,6,3,12,11,5,23
Occupants,10,145,14,166,31,80,38,74,229,7,92,56,22,119,20,2,51,39,6,36
Student,8,127,8,239,5,95,57,82,287,2,73,89,77,153,15,17,59,36,8,56
Sustainability and Energy Management Teams,1,16,1,414,7,19,14,10,67,8,0,10,87,60,1,8,7,6,0,4
