PrimaryPersona,Air Quality & Ventilation,Building Automation & AI,Building Maintenance & Faults,Carbon Footprint & Net Zero,Energy Consumption,Fire Safety & Emergency,Green Spaces & Biodiversity,Health & Well-being,Indoor Temperature Control,IoT Sensors & Data Analytics,"Lifts, Stairs & Internal Transport",Lighting & Daylight,Noise & Acoustics,Occupancy & Space Utilisation,Parking & EV Charging,Renewable Energy & Solar,Security & Access Control,User Apps & Digital Interaction,Waste & Recycling,Water Management
Building Owners,5.8,13.4,12.4,15.0,5.6,6.0,12.6,9.2,2.2,11.6,12.2,10.8,9.8,8.8,16.4,7.6,10.2,14.2,12.8,13.4
Facility Managers,8.0,14.0,14.4,14.6,11.6,8.4,9.0,10.4,4.0,13.2,12.2,5.8,9.4,12.2,12.6,11.2,10.6,14.8,4.0,9.6
Guests,4.88,15.18,11.65,12.53,7.53,5.47,13.47,9.18,5.47,15.24,11.53,8.06,10.18,11.94,13.06,12.41,5.0,13.94,12.12,11.18
Health and Safety Officers,3.3,13.9,5.1,15.9,13.1,5.8,15.1,6.6,5.1,7.9,14.1,11.0,12.8,6.0,13.8,12.9,4.9,15.3,13.0,14.4
IT,11.86,12.14,14.14,15.43,6.86,6.29,8.86,8.0,9.0,12.86,15.29,6.43,8.43,10.0,13.86,11.71,4.86,15.0,10.57,8.43
Occupants,2.92,12.92,11.62,12.15,6.38,3.77,15.38,6.08,4.85,14.62,15.69,9.77,13.23,10.46,15.54,12.77,5.77,13.62,14.15,8.31
Student,6.21,14.93,14.07,18.86,8.36,6.79,11.14,9.79,5.0,11.71,12.79,6.93,7.86,6.43,13.93,11.71,6.64,16.36,10.0,10.5
Sustainability and Energy Management Teams,4.89,13.78,15.22,3.67,5.67,14.67,5.78,15.11,11.33,6.56,14.44,13.44,13.11,14.44,13.89,4.11,14.78,15.0,5.22,4.89
