Persona,N,GROUNDED_n,INFORMATIONAL_n,DISAMBIGUATION_n,BOUNDARY_n,FAILED_n,Answer_rate_pct,AR_CI_lo,AR_CI_hi,Grounded_rate_pct,Latency_median_s
Sustainability,740,432,204,87,17,0,85.95,83.26,88.26,58.38,0.05
Guest/Visitor,1398,245,782,213,145,13,73.46,71.09,75.71,17.53,5.56
Health & Safety,740,280,246,207,6,1,71.08,67.71,74.23,37.84,0.04
IT/Data Sci.,681,128,344,163,42,4,69.31,65.75,72.66,18.8,4.94
Occupant,1237,234,537,332,120,14,62.33,59.59,64.99,18.92,5.26
Building Owner,435,71,197,132,34,1,61.61,56.96,66.06,16.32,5.07
Researcher,1493,413,413,515,128,24,55.32,52.79,57.83,27.66,5.74
Facility Mgr.,427,53,181,173,15,5,54.8,50.06,59.46,12.41,4.92
