PrimaryPersona,ACCESSIBILITY,AIR_QUALITY,CONTROL,ENERGY,INFO_REQUEST,LIGHTING,MAINTENANCE,OCCUPANCY,OTHER,PRIVACY,SAFETY,SECURITY,SUSTAINABILITY,THERMAL,TRANSPORT,WASTE,WATER,WAYFINDING,WEATHER_OUTDOOR,WELLBEING
Building Owners,0.92,13.1,0.46,17.01,0.69,2.76,2.07,2.53,35.17,0.46,4.83,3.22,3.45,5.75,0.23,0.0,1.84,1.84,0.46,3.22
Facility Managers,0.23,9.84,0.7,10.77,1.87,6.09,2.58,2.11,40.75,0.94,3.04,3.51,1.17,6.56,0.47,0.7,3.75,2.11,0.0,2.81
Guests,1.5,11.09,1.5,12.8,3.08,4.72,3.93,3.36,21.75,1.36,5.01,5.58,1.57,9.87,0.79,0.57,3.65,3.58,0.79,3.51
Health and Safety Officers,0.0,6.22,0.54,3.24,0.27,0.54,2.57,1.35,10.95,0.0,63.11,1.89,1.22,2.7,0.0,0.0,1.22,1.08,1.22,1.89
IT,0.15,14.39,0.88,15.86,2.64,4.7,3.08,2.79,25.26,1.62,3.96,5.29,3.08,7.49,0.88,0.44,1.76,1.62,0.73,3.38
Occupants,0.81,11.72,1.13,13.42,2.51,6.47,3.07,5.98,18.51,0.57,7.44,4.53,1.78,9.62,1.62,0.16,4.12,3.15,0.49,2.91
Student,0.54,8.51,0.54,16.01,0.33,6.36,3.82,5.49,19.22,0.13,4.89,5.96,5.16,10.25,1.0,1.14,3.95,2.41,0.54,3.75
Sustainability and Energy Management Teams,0.14,2.16,0.14,55.95,0.95,2.57,1.89,1.35,9.05,1.08,0.0,1.35,11.76,8.11,0.14,1.08,0.95,0.81,0.0,0.54
