PrimaryRole,ACCESSIBILITY,AIR_QUALITY,CONTROL,ENERGY,INFO_REQUEST,LIGHTING,MAINTENANCE,OCCUPANCY,OTHER,PRIVACY,SAFETY,SECURITY,SUSTAINABILITY,THERMAL,TRANSPORT,WASTE,WATER,WAYFINDING,WEATHER_OUTDOOR,WELLBEING
Building Owners,4,57,2,74,3,12,9,11,153,2,21,14,15,25,1,0,8,8,2,14
Facility Managers,1,48,4,46,9,26,12,9,209,4,13,17,5,30,2,3,16,9,1,13
Guests,21,155,21,179,43,66,55,47,304,19,70,78,22,138,11,8,51,50,11,49
Health and Safety Officers,0,8,1,12,2,3,4,2,43,0,2,2,3,14,0,0,2,2,0,0
IT,1,98,6,108,18,32,21,19,172,11,27,36,21,51,6,3,12,11,5,23
Occupants,10,145,14,166,31,80,38,74,229,7,92,56,22,119,20,2,51,39,6,36
Ontology Experts,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Student,8,127,8,239,5,95,57,82,287,2,73,89,77,153,15,17,59,36,8,56
Sustainability and Energy Management Teams,1,14,1,17,4,5,1,5,21,0,0,4,0,5,1,0,2,6,0,4
