QueryType,Label,N,GROUNDED_n,INFORMATIONAL_n,DISAMBIGUATION_n,BOUNDARY_n,FAILED_n,Answer_rate_pct,AR_CI_lo,AR_CI_hi,Grounded_rate_pct,Latency_median_s
RECOMMENDATION,Recommendation,128,73,37,15,1,2,85.94,78.86,90.92,57.03,5.93
HISTORICAL,Historical Trend,68,31,24,8,4,1,80.88,69.99,88.47,45.59,4.76
DIAGNOSTIC,Diagnostic,123,11,84,26,1,1,77.24,69.07,83.75,8.94,5.01
CAPABILITY,Capability / Can-It,1704,510,792,241,141,20,76.41,74.33,78.36,29.93,5.1
ANOMALY,Anomaly Detection,160,68,54,32,4,2,76.25,69.09,82.18,42.5,4.92
COMPARISON,Comparison,175,65,44,52,8,6,62.29,54.91,69.13,37.14,5.37
STATUS,Status / Current,4793,1098,1869,1448,348,30,61.9,60.52,63.27,22.91,4.81
